-0.03469074, -0.00068941, 0.53993619,
-0.03062552, 0.00084953, 0.5377697,
-0.02965057, -0.00153926, 0.53787579,
-0.030101989, -0.00023322, 0.53858908,
-0.00235694, -0.00086774, 0.53479353,
-0.03098628, -0.00191901, 0.53879547,
-0.02404074, -0.0006817, 0.539963,
-0.03576151, -0.0004124143, 0.53914066,
0.01501197, -0.00097771, 0.53910192,
0.01673561, -0.00096331, 0.5311847
